J,K,N,seed,avg_runtime,prop_identifiable,prop_non_identifiable,total_time,count_generator_empty,prop_generator_empty
30,4,10,35,0.022379446029663085,1.0,0.0,0.22379446029663086,10,1.0
30,4,10,49,0.006821823120117187,1.0,0.0,0.06821823120117188,10,1.0
30,4,10,44,0.00514373779296875,1.0,0.0,0.0514373779296875,10,1.0
30,4,10,45,0.011706113815307617,1.0,0.0,0.11706113815307617,10,1.0
30,4,10,42,0.007497644424438477,1.0,0.0,0.07497644424438477,10,1.0
30,4,10,41,0.02155928611755371,1.0,0.0,0.2155928611755371,10,1.0
30,4,10,48,0.020826315879821776,1.0,0.0,0.20826315879821777,10,1.0
30,4,10,46,0.022379136085510253,1.0,0.0,0.22379136085510254,10,1.0
30,4,10,57,0.008884525299072266,1.0,0.0,0.08884525299072266,10,1.0
30,4,10,53,0.022101283073425293,1.0,0.0,0.22101283073425293,10,1.0
30,4,10,54,0.022728538513183592,1.0,0.0,0.22728538513183594,10,1.0
30,4,10,52,0.008593487739562988,1.0,0.0,0.08593487739562988,10,1.0
30,4,10,43,0.020766711235046385,1.0,0.0,0.20766711235046387,10,1.0
30,4,10,50,0.023880791664123536,1.0,0.0,0.23880791664123535,10,1.0
30,4,10,55,0.01623382568359375,1.0,0.0,0.1623382568359375,10,1.0
30,4,10,47,0.034257698059082034,1.0,0.0,0.3425769805908203,10,1.0
30,4,10,56,0.020509791374206544,1.0,0.0,0.20509791374206543,10,1.0
30,4,10,59,0.02498660087585449,1.0,0.0,0.24986600875854492,10,1.0
30,4,10,51,0.023507285118103027,1.0,0.0,0.23507285118103027,10,1.0
30,4,10,40,0.02367539405822754,1.0,0.0,0.2367539405822754,10,1.0
30,4,10,58,0.05265331268310547,1.0,0.0,0.5265331268310547,10,1.0
30,4,10,61,0.005985808372497558,1.0,0.0,0.059858083724975586,10,1.0
30,4,10,65,0.005055809020996093,1.0,0.0,0.05055809020996094,10,1.0
30,4,10,67,0.0053805351257324215,1.0,0.0,0.05380535125732422,10,1.0
30,4,10,63,0.00498964786529541,1.0,0.0,0.0498964786529541,10,1.0
30,4,10,64,0.006014800071716309,1.0,0.0,0.060148000717163086,10,1.0
30,4,10,62,0.006985878944396973,1.0,0.0,0.06985878944396973,10,1.0
30,4,10,66,0.01262059211730957,1.0,0.0,0.1262059211730957,10,1.0
30,4,10,74,0.01647484302520752,1.0,0.0,0.1647484302520752,10,1.0
30,4,10,76,0.00682222843170166,1.0,0.0,0.0682222843170166,10,1.0
30,4,10,77,0.012439966201782227,1.0,0.0,0.12439966201782227,10,1.0
30,4,10,73,0.022461247444152833,1.0,0.0,0.22461247444152832,10,1.0
30,4,10,69,0.024623894691467287,1.0,0.0,0.24623894691467285,10,1.0
30,4,10,70,0.03275487422943115,1.0,0.0,0.3275487422943115,10,1.0
30,4,10,79,0.024104905128479005,1.0,0.0,0.24104905128479004,10,1.0
30,4,10,78,0.024440979957580565,1.0,0.0,0.24440979957580566,10,1.0
30,4,10,71,0.007823681831359864,1.0,0.0,0.07823681831359863,10,1.0
30,4,10,75,0.03831801414489746,1.0,0.0,0.3831801414489746,10,1.0
30,4,10,72,0.030968332290649415,1.0,0.0,0.30968332290649414,10,1.0
