J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time,source_file,solver,resolved_before_SAT,SAT_identifiable,SAT_nonidentifiable,direct_identity_branch,two_col_branch,three_col_branch
50,5,10,0.3,77,4,0.0001218789257109,5.531194619834423e-05,9.94889996945858e-05,0.0001149410381913,7.081613875925541e-05,0.0,5,0.0004660489503294,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004624370485544,0.0004990911111235,solver1_J50_K5_p0.3_seed77_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,77,5,0.0001278659328818,5.963700823485851e-05,9.776209481060504e-05,0.0001154809724539,7.099215872585773e-05,0.0,5,0.0004751200322061,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004717381671071,0.0004880952183157,solver1_J50_K5_p0.3_seed77_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,77,6,0.0001129021402448,5.477084778249264e-05,9.817606769502164e-05,0.0001159301027655,7.04098492860794e-05,0.0,5,0.0004556239582598,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004521890077739,0.0004980829544365,solver1_J50_K5_p0.3_seed77_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,77,7,0.0001263730227947,5.417503416538239e-05,9.87430103123188e-05,0.0001168581657111,7.048994302749634e-05,0.0,5,0.0004700480494648,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.000466639176011,0.0004981539677828,solver1_J50_K5_p0.3_seed77_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,77,8,0.0001215930096805,5.5566197261214256e-05,9.91220586001873e-05,0.0001213899813592,7.086922414600849e-05,0.0,5,0.0004720040597021,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004685404710471,0.0004869720432907,solver1_J50_K5_p0.3_seed77_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,77,9,0.000117041869089,5.5451877415180206e-05,9.826780296862124e-05,0.0001171471085399,7.037096656858921e-05,0.0,5,0.0004618919920176,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004582796245813,0.0004981430247426,solver1_J50_K5_p0.3_seed77_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,0,0.0001514889299869,0.0001395558938384,0.0001153878401964,0.0001679609995335,0.0001781058963388,0.0,5,0.0007611499167978,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0007524995598942,0.0006013500969856,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,1,0.0001445859670639,8.647702634334564e-05,0.0001106008421629,0.0001337679568678,0.0001295791007578,0.0,5,0.0006107909139245,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006050108931958,0.0005430940072983,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,2,0.0001341018360108,7.422594353556633e-05,0.0001072080340236,0.0001345411874353,0.0001223769504576,0.0,5,0.000578129896894,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005724539514631,0.0005462598055601,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,3,0.0002357959747314,7.976102642714977e-05,0.0001059151254594,0.0001296019181609,0.0001292889937758,0.0,5,0.0006860441062599,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006803630385547,0.0005434278864413,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
