solver,J,K,p,n,id_prop,id_mcse,mean_J_basis,sd_J_basis,mean_M_basis,sd_M_basis,identity_original_prop,identity_basis_prop,two_col_violation_original_prop,two_col_violation_basis_prop,sat_called_prop,resolved_before_SAT_prop,mean_algorithm_time,median_algorithm_time,mean_preprocess_time,median_preprocess_time,mean_sat_time_all,median_sat_time_all,preprocess_share_of_total,n_SAT,SAT_identifiable_prop,SAT_nonidentifiable_prop,mean_sat_time_given_SAT,median_sat_time_given_SAT,mean_algorithm_time_given_SAT,mean_J_basis_given_SAT,mean_M_basis_given_SAT
1,50,10,0.1,1000,0.735,0.013956181426163821,11.843,1.8438413030276635,823.097,173.49534352605903,0.004,0.214,0.265,0.265,0.521,0.479,0.09487544188747411,0.11454022105317554,0.0039729297599259954,0.00383604236412785,0.09085678831019321,0.11066364811267701,0.04187521745235233,521,1.0,0.0,0.17438922900229023,0.1773742299992591,0.1790499057688747,12.81190019193858,848.6545105566219
1,50,10,0.3,1000,0.999,0.0009994998749374613,27.476,4.106127650753721,724.571,83.66044482925633,0.048,0.0,0.001,0.001,0.999,0.001,0.3980156285490375,0.3983006899943575,0.009738658071262712,0.009631506050936801,0.38826775558828375,0.3886669424828142,0.02446802932529284,999,1.0,0.0,0.38865641200028406,0.3886683909222483,0.3984100227598455,27.47947947947948,724.902902902903
1,50,10,0.5,1000,1.0,0.0,35.215,2.788287924434914,327.049,45.13956334723652,0.0,0.0,0.0,0.0,1.0,0.0,0.3252036578868283,0.3165894449921325,0.00836485597852147,0.008105153567157651,0.31682943644793704,0.3081871879985556,0.02572190003297091,1000,1.0,0.0,0.31682943644793704,0.3081871879985556,0.3252036578868283,35.215,327.049
1,50,10,0.7,1000,0.926,0.008277922444671728,29.335,2.605295100859508,106.029,15.420244581164827,0.0,0.0,0.001,0.001,0.992,0.008,3.478572417716496,1.3596243599895388,0.004563349989475635,0.00454950716812155,3.4739722996558995,1.354943630984053,0.0013118456198394281,992,0.9334677419354839,0.06653225806451613,3.501988205298286,1.3661222330993041,3.5065961288184493,29.34576612903226,106.17439516129032
1,50,10,0.9,1000,0.0,0.0,14.042,1.867008763161469,24.789,3.6126902068307114,0.0,0.0,0.265,0.265,0.0,1.0,0.0014128297963179155,0.0014790189452469,0.0011661707883612912,0.00123610277660185,0.0,0.0,0.8254149165034166,0,,,,,,,
1,100,5,0.1,1000,0.998,0.0014127986409959495,5.01,0.15467360448351844,31.972,0.4066710973026987,0.0,0.993,0.002,0.002,0.005,0.995,0.0005556823778897023,0.0005037339869885999,0.000534922781560403,0.0005001134704798,1.64130800403653e-05,0.0,0.9626412548691262,5,1.0,0.0,0.0032826160080730604,0.003301054937765,0.0038964869920164,7.0,29.6
1,100,5,0.3,1000,1.0,0.0,5.011,0.17581214380670615,31.995,0.08355825501996789,0.0,0.996,0.0,0.0,0.004,0.996,0.0005789743624627088,0.0005237150471657001,0.0005575389636214321,0.00051997310947625,1.72824834007767e-05,0.0,0.9629769464228093,4,1.0,0.0,0.004320620850194175,0.0037771430797874,0.004962282313499549,7.75,30.75
1,100,5,0.5,1000,1.0,0.0,5.62,1.278763166202107,31.745,0.56239780519779,0.0,0.799,0.0,0.0,0.201,0.799,0.0013145459869410348,0.0005631584208458499,0.0005717453174292526,0.00054807669948785,0.0007385435334872358,0.0,0.43493747887794415,201,1.0,0.0,0.0036743459377474416,0.0035735559649765,0.00431222984548746,8.08457711442786,30.73134328358209
1,100,5,0.7,1000,1.0,0.0,9.086,1.1772807609019995,26.975,2.0328569815674458,0.104,0.015,0.0,0.0,0.985,0.015,0.004530117348534936,0.0044831220293417,0.0006614494980312398,0.0006253323517739,0.0038631916821468128,0.00383519753813735,0.14601155933524682,985,1.0,0.0,0.00392202201233179,0.0038416539318859,0.004590117906546407,9.148223350253808,26.898477157360407
1,100,5,0.9,1000,0.2,0.01264911064067352,7.059,1.015159864035981,13.079,1.901150539376977,0.0,0.0,0.002,0.002,0.593,0.407,0.00223187305801543,0.00268896890338505,0.0005017531744669631,0.0004936326295137,0.0014735566002782134,0.0019270799821242,0.22481259526163172,593,0.3372681281618887,0.6627318718381113,0.0024849183815821474,0.0024063559249043,0.003266841023971871,7.397976391231029,14.109612141652613
