design,J,K,p,m,n,expected_n,n_identifiable,pct_identifiable,n_complete,pct_complete,n_two_column,pct_two_column,n_both_necessary,pct_both_necessary,n_no_pure_nodes,pct_no_pure_nodes,n_sat_called,pct_sat_called,conditional_denominator_identifiable,n_incomplete_given_identifiable,pct_incomplete_given_identifiable,n_no_pure_given_identifiable,pct_no_pure_given_identifiable,sum_J_basis,mean_J_basis,sum_basis_time,mean_basis_time,sum_identity_check_time,mean_identity_check_time,sum_two_col_check_time,mean_two_col_check_time,sum_three_col_check_time,mean_three_col_check_time,sum_sat_time,mean_sat_time,sum_preprocess_time,mean_preprocess_time,sum_algorithm_time,mean_algorithm_time,branch_counts
bernoulli,100,10,0.3,,10,10,10,100.0,1,10.0,10,100.0,10,100.0,0,0.0,9,90.0,10,9,90.0,0,0.0,246,24.6,0.018086572643369436,0.0018086572643369436,0.001199839636683464,0.00011998396366834641,0.010859607718884945,0.0010859607718884945,0.009431113488972187,0.0009431113488972187,0.2007309664040804,0.020073096640408038,0.03957713348791003,0.003957713348791003,0.2404026621952653,0.02404026621952653,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 0, ""6"": 9}"
bernoulli,100,10,0.5,,10,10,10,100.0,0,0.0,10,100.0,10,100.0,5,50.0,10,100.0,10,10,100.0,5,50.0,497,49.7,0.02903577545657754,0.002903577545657754,0.0015053339302539825,0.00015053339302539825,0.021382436621934175,0.0021382436621934175,0.010379317682236433,0.0010379317682236433,0.3244743114337325,0.03244743114337325,0.06230286369100213,0.006230286369100213,0.3868697830475867,0.03868697830475867,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
bernoulli,100,10,0.7,,10,10,10,100.0,0,0.0,10,100.0,10,100.0,9,90.0,10,100.0,10,10,100.0,9,90.0,463,46.3,0.02650943910703063,0.002650943910703063,0.0015513887628912926,0.00015513887628912926,0.020220077130943537,0.0020220077130943537,0.010521425399929285,0.0010521425399929285,4.800586332567036,0.4800586332567036,0.058802330400794744,0.005880233040079475,4.859496073331684,0.4859496073331684,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
bernoulli,100,10,0.9,,10,10,0,0.0,0,0.0,10,100.0,1,10.0,10,100.0,1,10.0,0,0,,0,,225,22.5,0.00807578768581152,0.0008075787685811519,0.001003757119178772,0.0001003757119178772,0.010764580219984055,0.0010764580219984055,0.0043252017349004745,0.00043252017349004745,0.03466864116489887,0.0034668641164898872,0.02416932675987482,0.0024169326759874822,0.05989568680524826,0.005989568680524826,"{""-1"": 0, ""2"": 0, ""3"": 9, ""4"": 0, ""5"": 1, ""6"": 0}"
row_sparsity,25,10,,3,10,10,6,60.0,0,0.0,6,60.0,6,60.0,0,0.0,6,60.0,6,6,100.0,0,0.0,166,16.6,0.003510667011141777,0.0003510667011141777,0.0008347490802407265,8.347490802407265e-05,0.006351521238684654,0.0006351521238684654,0.00621378980576992,0.000621378980576992,0.11083683464676142,0.011083683464676142,0.016910727135837078,0.0016910727135837078,0.12784020323306322,0.012784020323306323,"{""-1"": 0, ""2"": 4, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 6}"
row_sparsity,25,10,,4,10,10,7,70.0,0,0.0,7,70.0,7,70.0,0,0.0,7,70.0,7,7,100.0,0,0.0,194,19.4,0.0038256701081991196,0.00038256701081991197,0.0008927201852202415,8.927201852202416e-05,0.007589190267026424,0.0007589190267026424,0.007160126231610775,0.0007160126231610775,0.14903610479086637,0.014903610479086638,0.01946770679205656,0.0019467706792056561,0.1685857893899083,0.016858578938990832,"{""-1"": 0, ""2"": 3, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 7}"
row_sparsity,50,10,,3,10,10,10,100.0,0,0.0,10,100.0,10,100.0,0,0.0,10,100.0,10,10,100.0,0,0.0,172,17.2,0.006210516206920147,0.0006210516206920147,0.0009187953546643257,9.187953546643257e-05,0.008542944211512804,0.0008542944211512804,0.010568468365818262,0.0010568468365818261,0.17594130849465728,0.017594130849465726,0.02624072413891554,0.0026240724138915537,0.20228034537285566,0.020228034537285566,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
row_sparsity,50,10,,4,10,10,10,100.0,1,10.0,10,100.0,10,100.0,0,0.0,9,90.0,10,9,90.0,0,0.0,206,20.6,0.0071820951998233795,0.0007182095199823379,0.0009263455867767334,9.263455867767335e-05,0.009297658689320087,0.0009297658689320087,0.009083116427063942,0.0009083116427063942,0.18190892413258553,0.018190892413258553,0.026489215902984142,0.002648921590298414,0.20847296807914972,0.020847296807914972,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 0, ""6"": 9}"
row_sparsity,100,10,,3,10,10,10,100.0,7,70.0,10,100.0,10,100.0,0,0.0,3,30.0,10,3,30.0,0,0.0,118,11.8,0.009645238984376192,0.0009645238984376192,0.000777906272560358,7.779062725603581e-05,0.0024305791594088078,0.00024305791594088079,0.003061877563595772,0.00030618775635957716,0.05569458566606045,0.005569458566606044,0.01591560197994113,0.001591560197994113,0.0716760796494782,0.00716760796494782,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 7, ""5"": 0, ""6"": 3}"
row_sparsity,100,10,,4,10,10,10,100.0,4,40.0,10,100.0,10,100.0,0,0.0,6,60.0,10,6,60.0,0,0.0,150,15.0,0.012791289947926998,0.0012791289947926999,0.0009450102224946022,9.450102224946022e-05,0.00547700934112072,0.000547700934112072,0.006071505136787891,0.0006071505136787892,0.11889835633337498,0.011889835633337498,0.02528481464833021,0.002528481464833021,0.14425222110003233,0.014425222110003234,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 4, ""5"": 0, ""6"": 6}"
