schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,m_requested,m_effective,min_row_size_requested,row_size_distribution,row_size_support,row_size_probs,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,25,10,100,1482767248,20,conj,glucose42,MT19937-RandomState,0.00037754327058792114,0001000000111100000000010000100000011001010001100100100100000010000000001000000001000100000000101010110000001110000000001000000100001001100001110000100100111000000000000110110001001011000000000001001000010110100100000000001011100000011100000000010110,cbdf6af4fc04f33aea8a003f8ca9d1cefe5734631c0405fbb6ab73c6f12acbab,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00042035896331071854,8.29482451081276e-05,0.0009618839249014854,0.0010802196338772774,0.005944722332060337,0.008499729447066784,0.002545410767197609,19,475,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,921,3426,0,1,1,0,0,0,0,1,1,1,0,0,0.004751243628561497
4,25,10,100,1482767248,21,conj,glucose42,MT19937-RandomState,0.0003838296979665756,0000000100010010100000101000110000011100100001000010000100000000000010000000001010010000010000000101000000001100101010100100001001100000100000100100000100010000001001010110000010000010000000000101001000100011001101000000111100000000010000010010110000,394e58102598039ddfd34da726c5935dc6bb340e6603850763b82468ee99edc6,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00035644229501485825,7.546413689851761e-05,0.001004265621304512,0.0010426342487335205,0.009314670227468014,0.011801505461335182,0.0024788063019514084,20,521,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,970,3614,0,1,1,0,0,0,0,1,1,1,0,0,0.005129615776240826
4,25,10,100,1482767248,22,conj,glucose42,MT19937-RandomState,0.00037265289574861526,1000100000000000010111010000010001000000100000010001100001000000010100000101101000100000000010010001000010100011100001000010100011001110001001000011000001110000000000001000011000010000001001100001000000000010100001000000010000000000100000000010000000,0b80b11ab7c3f8adcd8ae7a5072c26bc0d5cceec59abd3aa3b58798d9c85ab7a,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00039239227771759033,7.728487253189087e-05,0.0010592518374323845,0.0010771416127681732,0.006199275143444538,0.008814243599772453,0.002606070600450039,21,757,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,1009,3791,0,1,1,0,0,0,0,1,1,1,0,0,0.005637370049953461
4,25,10,100,1482767248,23,conj,glucose42,MT19937-RandomState,0.0003648083657026291,0011000010010110100011000010010000110110000100110100000010000000000100010100010101011000000000001000001101000110100000000011000110000101000000101000100000000100001000100001000000100000001010000100000110000000000010101100010100110000000110100000001000,17c22cc802f95d3cff9eaba396134d20bdfdf975917ebc2efcb833d004b54450,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003378661349415779,6.803404539823532e-05,0.0009453929960727692,0.0010750163346529007,0.005059192888438702,0.00749345775693655,0.002426309511065483,19,449,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,971,3481,0,1,1,0,0,0,0,1,1,1,0,0,0.004799295216798782
4,25,10,100,1482767248,24,conj,glucose42,MT19937-RandomState,0.0003756145015358925,0000001010010011100010010001010010000000000000010000101100000001100100010100101000001000110000000001100100100101001011000001000111001001101010000000000001110000100000011001000010110000000111010000010000000010100010000000011000011000110011000011000000,541de03c36ce48b78751c42573f2e359823cc2f54f0bb4b66e0c34decde5c8b7,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00039047282189130783,7.734261453151703e-05,0.0010804934427142143,0.0010209456086158752,0.006537570618093014,0.009114506654441357,0.0025692544877529144,23,423,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,1217,4288,0,1,1,0,0,0,0,1,1,1,0,0,0.005056480877101421
4,25,10,100,1482767248,25,conj,glucose42,MT19937-RandomState,0.0003907466307282448,1011000100000000100100000001001011010000011000000000000000100000010000110010100010000000000100000110100000001000010001100000010000100101000100010100000001000000000001001101011000000011100000000101010000110000100000110000010000000001100011000010000000,3560f700571d9cd3141b2590ed3eac976d2803053c4bdaa2b798c379ac404cc8,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00035322364419698715,7.187295705080032e-05,0.0007712831720709801,0.0010427813977003098,0.004260598681867123,0.0065077245235443115,0.0022391611710190773,15,574,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,705,2652,0,1,1,0,0,0,0,1,1,1,0,0,0.004591303877532482
4,25,10,100,1482767248,26,conj,glucose42,MT19937-RandomState,0.0003776252269744873,0000010010000100000001010010001000000001100000100001000001010001000100000000100000011010001000001110100100000000100000000000001100010000000010011000011010100000100000001101000001000000000110111000001001000000000000100000000100000000100000000000110000,db208b8112a8e9607c2d0812bf48a56eded24cdb08fe94134d67e44eab299a40,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00033918488770723343,6.31529837846756e-05,0.0009218119084835052,0.0010774703696370125,0.009351206943392754,0.011760568246245384,0.0024016201496124268,18,627,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,802,3161,0,1,1,0,0,0,0,1,1,1,0,0,0.005033109337091446
4,25,10,100,1482767248,27,conj,glucose42,MT19937-RandomState,0.00036628730595111847,0100001010000100101000001000001000000000010101001011100000100100101000000000100010000000000010000010000000010000000100001001000010000010001101101000001110010000100000000000100000001000000100000100000101000000001000000000010000111011000101000000000001,0651d986ddbc5adc69c0875843306428d765d9c3b2a3ab460a5509cd0c06ed53,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003428235650062561,6.69555738568306e-05,0.0007669096812605858,0.0010804366320371628,0.004246697761118412,0.006510510109364986,0.0022571254521608353,15,794,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,665,2608,0,1,1,0,0,0,0,1,1,1,0,0,0.005228984169661999
4,25,10,100,1482767248,28,conj,glucose42,MT19937-RandomState,0.00038548093289136887,1000100100001000101100001000000110001000000000000100000001110100100000000100000000000001010100001001000101000100010000000001000010011000100000001100000100010100000000000110010100000000001000001101100000100100001100000000000000101110001001101101000000,402e15eef97b4919c944ca8b92a1614e3cbc42f6d188b130387410d09c330584,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003768177703022957,7.913447916507721e-05,0.0010036509484052658,0.0010517723858356476,0.008026561699807644,0.010546194389462471,0.0025113755837082863,20,536,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,960,3603,0,1,1,0,0,0,0,1,1,1,0,0,0.005137748084962368
4,25,10,100,1482767248,29,conj,glucose42,MT19937-RandomState,0.0003948044031858444,1000010101000000001100100100010000000100100000000101100100100010001001001000000000000000100010000000000010000100000000010001010110001010100010000110011000000000011000000000001000100000000010100010100000000100000001000000000001010110011000000001010000,16e4fe9b5b2cb47f640e22f686512ec4520d89c1bff50fccfa3af9d7c6d35a87,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003310190513730049,6.973650306463242e-05,0.00019395817071199417,0.0,0.0,0.0006037699058651924,0.0005947137251496315,15,580,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0032128915190696716
