schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,m_requested,m_effective,min_row_size_requested,row_size_distribution,row_size_support,row_size_probs,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,50,10,100,869815370,10,conj,glucose42,MT19937-RandomState,0.0005134278908371925,10001000000010001100010000011000000001000000000101010000000001000001100000100010000000001000000000100001001100000010000001100000100000100010000010000010000000011100000010000100000010000110001001000000000000100000000000100100101000100010010000110000000010010010001000001100000110000000000111011001000010000100000100001100001010001010000001000110000000000001000100011000000010100000000001000000010000001010000000000000001100010010010010000000100000010001110000000000101000110000000001000000100000001000,88e1171f87f36301e9f43a87c659114931e5ed73748e1ae6f5309e1c56a4ec5c,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0006483308970928192,6.114598363637924e-05,0.0009107440710067749,0.0009902259334921837,0.011374673806130886,0.01398949883878231,0.002610446885228157,19,996,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,771,3261,0,1,1,0,0,0,0,1,1,1,0,0,0.006856650114059448
4,50,10,100,869815370,11,conj,glucose42,MT19937-RandomState,0.0005717454478144646,01010000100000010001000100110010000010000100001001111000000000100000100001001000000100000000001000000010000001000000001000101000100100000000000101001000100000000001000000010000100100001000000100000100010000010000001000000000000100000000001010000100011000001000000000010000001000010100010000010000100010001000000000001000100100010000000001000000010000000000001100001110000000110000000000100100000100100000000001010000000000000010000000000001100000100100010000011000000000010000000000000000100000001010,8b4d8f2e800fc255c2fdaf9dc8332114dc6399154d0aeb5777459e4faf593c83,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.00046506430953741074,5.089305341243744e-05,0.0,0.0,0.0,0.0005201967433094978,0.0005159573629498482,10,1024,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0.00547751784324646
4,50,10,100,869815370,12,conj,glucose42,MT19937-RandomState,0.000572563149034977,10000010100100000000000000000100100000000000000100000101001000010000100000000110001000000000000101001000010000100000000000000010010000000001001001100000000110001010000100000000010000010000000010010100000000010000000000100001000000000010100000000110000100010000000011010000001010000010000000000010000110000100000000010100001010000000001001000100000000000001100101000001010001000000010010000100000101000100000000000000000100101000000010001000011000001000000110100010000000100001100000000010000001000010,03a056fc61496bf31422ffbe3640bd53e8315db94051559cda7255d38970de0f,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005035735666751862,5.776993930339813e-05,0.0008397959172725677,0.0009928727522492409,0.004760349169373512,0.0071588000282645226,0.002394012175500393,17,971,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,693,2907,0,1,1,0,0,0,0,1,1,1,0,0,0.006488053128123283
4,50,10,100,869815370,13,conj,glucose42,MT19937-RandomState,0.0005679605528712273,00000000100100000000000010001000010000000110000000010000000000001010100001010000101000000100010001001000000110100000100001001000000010101000000000100000001000000000001000000100010001000000001100000000010000000000100000000010010001110000100000000100100000000001000000000100000000010010000001100000001010000000100110000000011010000000000100100001000010000000100001000000100000100000100000010001010000000001001001000000001000000001000110000001010000000000000100000000010100000010000010010100000000011000,23325be94aa86ca4bce057140c15bc77d810392484ef49bcd7adfde747817e39,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0004924098029732704,5.507376044988632e-05,0.0007538460195064545,0.0009888475760817528,0.0035540685057640076,0.005848064087331295,0.002290177159011364,15,1006,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,615,2553,0,1,1,0,0,0,0,1,1,1,0,0,0.006369916722178459
4,50,10,100,869815370,14,conj,glucose42,MT19937-RandomState,0.000562555156648159,00000100101000001000000010100000010000010000100000011000000010000000100010000001001100000000000100100010000010100000100000000010000100010000110010000011000000100000000010000010101010010010000100100001000010010000101000001000010000000001000100001010100010100010010001000001001000100100000100000000100001000000000010000000010000001010010000100000000010000010100001001000001000100000100100010000000001000000001001110000000000000011000000010000001000100010100000000000001000100000000100000000100110000100,db93fdc1c8385f83ee9c030f385ed92a6be21347aabdcd964ddf4f3f6aeb14c6,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0006521129980683327,6.431993097066879e-05,0.0010730009526014328,0.0009912597015500069,0.005419621244072914,0.008204403333365917,0.002780693583190441,23,938,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,967,4013,0,1,1,0,0,0,0,1,1,1,0,0,0.007413649931550026
4,50,10,100,869815370,15,conj,glucose42,MT19937-RandomState,0.0005688350647687912,00011000010110001000000110000001001000000000000110100000000000000000010110000000001000000000000010000000000010000000010000010000001001000100110001000010000000110100000000011000000000010000100000011100100000100001000010000101010000000000001000000110000000001011000000110010000000001011000000010000010000000000010000110000000010000010000110000000100110000000001000100100100000100001000000100000000001000100000000010101000000101000000010011000010000010000101100000000000001010000100100000000010011000001,b0db3ea0fcc668ec86f924b73ed3539563d2bff204c56f0e99e0d6a4bdc274d4,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005421405658125877,5.42663037776947e-05,0.0007144743576645851,0.0009925458580255508,0.003564096987247467,0.005871353670954704,0.0023034270852804184,14,964,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,586,2387,0,1,1,0,0,0,0,1,1,1,0,0,0.006005158647894859
4,50,10,100,869815370,16,conj,glucose42,MT19937-RandomState,0.0005610538646578789,00010101000000101000100000010001000000000100010000010000000000001001000000001000000011000100010100100000100011000010000010010001000101000000000000100010000001000000001000000000011000000001000010000010100000000000000110100100001100100010000000000001000100000100010000000101100100000000000011001010001000011000000000010000000001001110000000000000000111010000010000100101000100001010000100000000010000000001110000011000000001000001100100000001010001010000000110100000110001000000000100100100100010000010,65a74668f65d90d820e27da43b970cedd998464c5fa35a949ec61c2460228025,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005903393030166626,5.578063428401947e-05,0.0007765600457787514,0.000997280701994896,0.004625638946890831,0.007049426436424255,0.0024199606850743294,16,896,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,684,2763,0,1,1,0,0,0,0,1,1,1,0,0,0.0061936890706419945
4,50,10,100,869815370,17,conj,glucose42,MT19937-RandomState,0.0005543967708945274,10000000000010101000000100000000100000000100001001100100000100001010010110010000010100000000011000000000100001010000000011000010001000010000011000010000000100000000100000000100010000000001010000111000000001000000001000000000011000000000001000000100000001000011000001011010000001000100000110000011000000000101000000001000100010001010000010000010000000000000100000100000000010010000111000000000000101000000001101000000111010000000001100100000001001000000110100000000010000111000000010001000100000001010,9607bdf6c3a4a83c6fe7daafab99561589760bfbf3ef1e82a38ce6563a5dd98a,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005999607965350151,6.0092657804489136e-05,0.0009132865816354752,0.000998745672404766,0.006698450073599815,0.009274660609662533,0.0025720857083797455,19,948,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,821,3316,0,1,1,0,0,0,0,1,1,1,0,0,0.0066287936642766
4,50,10,100,869815370,18,conj,glucose42,MT19937-RandomState,0.0005612354725599289,00000100000000010010000000000100010000000010000010000000110000100000000000001000100000000001000011000000000010010010000000000000101000010000000001000110000000011000000010000000001000000010000010001000000001000000000111000000100000100000000010000100100001010000001000001110010010000000100000000100000000100001000000001001110000000000000011010010100100000000100000010010000001100010000000100000000100000000000001000000111001000001010100001000100000000001000000100000000001000000000110011000000000100010,a8f5a754924860ce70327e504217c1b7457a40e156d7d9c8e9131008b0f17957,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005015963688492775,5.515478551387787e-05,0.0007530152797698975,0.0009982120245695114,0.003993379883468151,0.006305440329015255,0.0023079784587025642,15,908,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,615,2553,0,1,1,0,0,0,0,1,1,1,0,0,0.0061254724860191345
4,50,10,100,869815370,19,conj,glucose42,MT19937-RandomState,0.0005569504573941231,00000100101000000100001000011000010001000110000000000100000000110000011001000000100100000000000100000110010000010000000001000000100010010001000000011011000000011000010001000010010000010000000100000010001000001000000001000010101000100000100100000011000000100000000101010000000001100001010100100100000010011000000000000001100000001110100001001000000001101000000001100000100000010010000111000000010000100001110000000000100000000100100000000010010000001010010001000011000000000010010000001000010000100100,d43f7161ad84140e3cf0ccbae85dd5feb7ee1fc841fa7281c15b7322bd071465,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005606980994343758,5.805399268865585e-05,0.000826958566904068,0.0010086288675665855,0.004122273065149784,0.006580786779522896,0.002454339526593685,17,974,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,703,2918,0,1,1,0,0,0,0,1,1,1,0,0,0.0065727923065423965
4,50,10,100,869815370,20,conj,glucose42,MT19937-RandomState,0.0005673300474882126,00110000000000010100000010000010000000100100010100100001000011000000010100010000000000010000000000010000000100000001000000000000100100000000010000000100000100001000000000100001000000000000010011000000100000001010000110001001001000011000100001010000100000100000001000001000001010100000010000100000101000000000101000000000110001000001001000000000101001010000010101000100000000010000000000011000010010000001000000000010000000000100110001110000100100000000000010000100001000000010000000100100011000001000,fb41dfdfa2804cb406f1bf4c308115b50e8918d28fb12a1079c3221c31435b62,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005234535783529282,5.925819277763367e-05,0.0006817178800702095,0.0009865760803222656,0.003208407200872898,0.005463351495563984,0.002251005731523037,13,952,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,537,2199,0,1,1,0,0,0,0,1,1,1,0,0,0.0059721339493989944
4,50,10,100,869815370,21,conj,glucose42,MT19937-RandomState,0.0005574403330683708,10000000000000001000000000000100100000000100110000000010001010001010000001010010100100000000101100000000110000010010000100100100010000000100000000001000000100100001010001011100000000011000011000001010010110000011000010001000100001000010000001100000101010000001000000000100001010100000000100000010100001010100000110000001100000000100000100001100000000110000001001100001000000101000000001001000100000101000000000100000000000000000100000000001101000000001011000000101100000000100000000000010000000001100,8842c0f2e607315ba8401eaafdf62114a45a6fc17fb0de706ed27edb7fbe5b7e,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005844039842486382,6.006285548210144e-05,0.0008722459897398949,0.0009874757379293442,0.004279441200196743,0.006787297315895557,0.0025041885673999786,18,962,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,792,3150,0,1,1,0,0,0,0,1,1,1,0,0,0.006608546711504459
4,50,10,100,869815370,22,conj,glucose42,MT19937-RandomState,0.000558038242161274,00001000001000010000000001001001100100000000001000000001000000100001000000001100000001000100000100000000000001100000000000000001000000101000000000001010100010000101000100010100000100000000011011000000000101010000000001000000000010000001100100000001000001100100010000000110000000000100000100001100010000000010000100100000000110100000000010111000001000100101000000001000100100110000100000000000000100000100100000000100000000000001000000001000001000000000000000010100100000000010000100000010001000001010,bf168104cc0ea6186e7ff49e1fb0f18ec79eb30a14e7f9a24c1371eadb54d472,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0004959320649504662,5.351752042770386e-05,0.000674971379339695,0.0009729238227009773,0.0035442039370536804,0.005745206959545612,0.0021973447874188423,13,976,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,527,2188,0,1,1,0,0,0,0,1,1,1,0,0,0.006005402654409409
4,50,10,100,869815370,23,conj,glucose42,MT19937-RandomState,0.0005546864122152328,01000010010000000010000000010100001001000000001000011000000001001000000010000000010000100001100000000010000010001000100000100100001000001000000010001000010000010001000010000000010000101100001001000100100100100000000100011000000001000000100000000000110000100100000001000110100000100100011000001100100000010000000010001100000110100001000000010000000011000010100110001000000000101000000100100000000000101000010000010000000000011000000000000001000000110100101010000100000001000100000000001010100000001100,762b01b84edff8cd2eedbb438f430d737c7a1f3181999d755f3f2bcceb6c2838,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0006386665627360344,6.473157554864883e-05,0.0010327603667974472,0.0009823469445109367,0.005111382342875004,0.007833939045667648,0.002718505449593067,22,953,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,928,3836,0,1,1,0,0,0,0,1,1,1,0,0,0.007219906896352768
4,50,10,100,869815370,24,conj,glucose42,MT19937-RandomState,0.0005538817495107651,00000010001000000100010110000010100100000100001100000001001000000000100000010000000000101000000000100001010000100010000000010011000000100010001000011001000001000100010010000100000010011000001000100010001101000010010000000000000100000000010001001000000001000001000000001000000100000000100000000100000010000101000000010000000001000000010000000000000001001010100000101100000010000100001100100001000010000000010100000000011110000000001000100100100000000000000000100000100001010100010000100000001000001000,999abb462d88e4c2cd60a28f231da6e81b54478457fd95cf61bea52182101405,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005503622815012932,5.3328461945056915e-05,0.0006711790338158607,0.0009901048615574837,0.003521699458360672,0.005790519528090954,0.0022649746388196945,13,976,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,527,2188,0,1,1,0,0,0,0,1,1,1,0,0,0.005956163629889488
4,50,10,100,869815370,25,conj,glucose42,MT19937-RandomState,0.000558631494641304,01000000000000100010000011100000001000000001001000100000100001000010000000010000111000000011001000000010000000000010100001000000001000000110100000001010100000100000010001010000000000000000100010100010000010010001000000000001010100100001000000011000000110000001000100000000000010000000000001100000000000000000010001000100010001000000010101000000001110001000000010000100101000010000000001000100011001001001000001000000000100000000100000100100110000000101000010000001010010010011000001110000000001000100,35ad3f6f8becb53873cb6dd14653077961ca72dfcbb90e7d81951f14c199fe2b,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005445294082164764,5.278643220663071e-05,0.0006773937493562698,0.0009757243096828461,0.00409364327788353,0.006347682327032089,0.002250433899462223,13,944,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,537,2199,0,1,1,0,0,0,0,1,1,1,0,0,0.005835491232573986
4,50,10,100,869815370,26,conj,glucose42,MT19937-RandomState,0.0005463501438498497,00001000110010000100010000010000000100000100110000000000010001000011000011001000100000000000001001000010000000100000000101000010000001010000001000000010000000110000001010000001100000010010010011000010101000000000010000000100000001101010000001000010000001100010000000000100000000010000010000011010000000000000100000010000110000100000000100010000000001001001000001001010000010000110000001000010000000000001000100000010001000010100000101100000000000100000110000001000100000000010001110000000110000000001,f2d1079f45efc062ce1b89f88c286483aeb38d8acd5c0eda24723bd0621dd1a3,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005691191181540489,5.9602782130241394e-05,0.0008720811456441879,0.0009821504354476929,0.004260980524122715,0.006748056039214134,0.002482953481376171,18,955,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,762,3117,0,1,1,0,0,0,0,1,1,1,0,0,0.006479961797595024
